
Pre-schedule statistics


Total nodes: 1220

Node class;Type;Length;Num
NodeGt;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeGtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeGte;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodeGteInlined;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeInput;{HWRawBits:96};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeLeading1Detect;{HWOffsetFix:80, 0, UNSIGNED};0;2
NodeLt;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeLtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;94
NodeLteInlined;{HWOffsetFix:1, 0, UNSIGNED};0;8
NodeMul;{HWFloat:8, 24};0;32
NodeMul;{HWOffsetFix:42, -36, TWOSCOMPLEMENT};0;1
NodeMul;{HWOffsetFix:42, -37, TWOSCOMPLEMENT};0;1
NodeMul;{HWOffsetFix:44, -40, TWOSCOMPLEMENT};0;1
NodeMul;{HWOffsetFix:81, 0, UNSIGNED};0;2
NodeMux;{HWFloat:8, 24};0;45
NodeMux;{HWOffsetFix:17, -17, UNSIGNED};0;1
NodeMux;{HWOffsetFix:25, -24, UNSIGNED};0;1
NodeMux;{HWOffsetFix:27, -23, TWOSCOMPLEMENT};0;4
NodeMux;{HWOffsetFix:7, 0, UNSIGNED};0;4
NodeMux;{HWOffsetFix:80, -79, TWOSCOMPLEMENT};0;2
NodeMux;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;1
NodeMux;{HWRawBits:185};0;2
NodeMux;{HWRawBits:1};0;92
NodeMux;{HWRawBits:24};0;8
NodeMux;{HWRawBits:2};0;1
NodeNeg;{HWFloat:8, 24};0;1
NodeNeg;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;4
NodeNeqInlined;{HWOffsetFix:1, 0, UNSIGNED};0;7
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;13
NodeNot;{HWRawBits:1};0;1
NodeNot;{HWRawBits:24};0;4
NodeOneHotDecode;{HWOffsetFix:7, 0, UNSIGNED};0;2
NodeOr;{HWOffsetFix:1, 0, UNSIGNED};0;11
NodePO2FPMult;{HWFloat:8, 24};0;4
NodePulse;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeROM;{HWFloat:8, 24};0;1
NodeROM;{HWRawBits:108};0;2
NodeROM;{HWRawBits:128};0;4
NodeReinterpret;{HWFloat:8, 24};0;26
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;15
